#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Friedhof;Böhmenkirch Friedhof;10201;de:08117:201;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;950,952,958,958A;31950_,31952_,31958_,31958a;4;31;9,933124908;48,68712241
Post;Böhmenkirch Post;10202;de:08117:202;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;950,958,958A,35;31950_,31958_,31958a,73035_;4;31,73;9,936078775;48,68528191
Rathaus;Böhmenkirch Rathaus;10203;de:08117:203;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;950,950A,952,958,958A,972,972A,N97,35;31950_,31950a,31952_,31958_,31958a,31972_,31972a,34097_,73035_;9;31,34,73;9,933040286;48,68474903
Kirchstraße;Böhmenkirch Kirchstraße;10204;de:08117:204;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;958,958A;31958_,31958a;2;31;9,931155202;48,68268699
Lindenhof;Böhmenkirch Lindenhof;10205;de:08117:205;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;958,958A;31958_,31958a;2;31;9,920239488;48,67466338
Steinenkirch;Steinenkirch;10206;de:08117:206;08117010;Böhmenkirch;Steinenkirch;GP;7;Bus;958,958A;31958_,31958a;2;31;9,910688559;48,66383121
Roggenmühle;Eybach Roggenmühle;10207;de:08117:207;08117024;Geislingen an der Steige;Eybach;GP;7;Bus;958,958A;31958_,31958a;2;31;9,897448245;48,64907926
Ortsmitte;Eybach Ortsmitte;10208;de:08117:208;08117024;Geislingen an der Steige;Eybach;GP;7;Bus;958,958A,959;31958_,31958a,31959_;3;31;9,875189308;48,63801877
Pfingsthalde;Eybach Pfingsthalde;10209;de:08117:209;08117024;Geislingen an der Steige;Eybach;GP;7;Bus;958,958A;31958_,31958a;2;31;9,861461965;48,6350738
SC-Stadion;Geisl.(St) SC-Stadion;10210;de:08117:210;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;Bus;958,958A;31958_,31958a;2;31;9,851036253;48,63070896
