Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Holzsteig;Gültstein Holzsteig;Rtg Heerstraße Einsteinstraße;3234;0;4;de:08115:3234:0:4;BB;08115021;Herrenberg;Gültstein;5;31,5;"Bus;Ruftaxi";31791_,31794_,50794_;791,794,RT794;3;8,892343195;48,58025663;Ja;Ja;250;15;;Stufenhöhe;Nein
Kalkofenstraße;Herrenberg Kalkofenstr.;Bstg 1;3235;1;1;de:08115:3235:1:1;BB;08115021;Herrenberg;Herrenberg;5;31;Bus;31774a,31X77_;774A,X77;2;8,861525972;48,5943963;Ja;Ja;250;20;;Ebenerdig;Nein
Kalkofenstraße;Herrenberg Kalkofenstr.;Bstg 2;3235;1;2;de:08115:3235:1:2;BB;08115021;Herrenberg;Herrenberg;5;31;Bus;31773_,31774_,31774a;773,774,774A;3;8,861322915;48,59428814;Ja;Ja;250;20;;Ebenerdig;Nein
Kalkofenstraße;Herrenberg Kalkofenstr.;Bstg 3;3235;1;3;de:08115:3235:1:3;BB;08115021;Herrenberg;Herrenberg;5;31,5;"Bus;Ruftaxi";31775_,31780_,50775_,50780_;775,780,RT775,RT780;4;8,861079141;48,59419792;Ja;Ja;250;20;;Ebenerdig;Nein
Grund- und Hauptsch. Goldberg;Sindelf. G.-u. H.schule Goldb.;eRtg Goldberg Realschule;3236;0;3;de:08115:3236:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31711_,31717a;711,717A;2;9,014300419;48,6988367;Nein;Nein;250;20;;Ebenerdig;Ja
Grund- und Hauptsch. Goldberg;Sindelf. G.-u. H.schule Goldb.;Rtg Nord;3236;0;4;de:08115:3236:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31711_;711;1;9,014300419;48,6988367;Nein;Nein;150;20;;Ebenerdig;Ja
Käthe-Kollwitz-Straße;Herrenberg Käthe-Kollwitz-Str.;eRtg Fröbelschule;3237;0;3;de:08115:3237:0:3;BB;08115021;Herrenberg;Herrenberg;5;31,5;"Bus;Ruftaxi";31794_,50779_;794,RT779;2;8,860893084;48,59283081;Nein;Nein;250;15;;Ebenerdig;Nein
Käthe-Kollwitz-Straße;Herrenberg Käthe-Kollwitz-Str.;Rtg ZOB;3237;0;4;de:08115:3237:0:4;BB;08115021;Herrenberg;Herrenberg;5;31;Bus;31794_;794;1;8,860785175;48,59263285;;;;;;Keine Angabe;
Im Letten;Ehningen Im Letten;eRtg IBM;3238;0;3;de:08115:3238:0:3;BB;08115013;Ehningen;Ehningen;4;31;Bus;31752_;752;1;8,929948022;48,65282893;Nein;Nein;150;15;;Stufenhöhe;Nein
Im Letten;Ehningen Im Letten;eRtg Königsberger Straße;3238;0;4;de:08115:3238:0:4;BB;08115013;Ehningen;Ehningen;4;31;Bus;31752_;752;1;8,929948022;48,65282893;Nein;Nein;150;15;;Ebenerdig;Nein
Wengertstraße;Sindelfingen Wengertstr.;eRtg Altenheim Burghalde;3239;0;3;de:08115:3239:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;34;Nachtbus;34073_;N73;1;9,021967397;48,71041777;Nein;Nein;250;15;;Ebenerdig;Nein
Melli-Beese-Straße;Sindelfingen Melli-Beese-Str.;Rtg Calwer Str. (Hulb);3241;0;4;de:08115:3241:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31705_;705;1;8,990555941;48,6892783;Ja;Ja;250;20;;Ebenerdig;Ja
Harfenbrücke;Sindelfingen Harfenbrücke;Rtg Flugfeld-Allee;3242;0;3;de:08115:3242:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31705_;705;1;8,993856363;48,68972813;Nein;Nein;250;15;;Ebenerdig;Nein
Achalmstraße;Holzgerlingen Achalmstraße;Rtg Hohenzollernstr/BB;3244;0;3;de:08115:3244:0:3;BB;08115024;Holzgerlingen;Holzgerlingen;4;31,51;"Bus;Ruftaxi";31751_,31752_,31756_,31757_,51046_;751,752,756,757,RT46;5;9,009561969;48,64434245;Ja;Ja;250;20;;Stufenhöhe;Ja
Achalmstraße;Holzgerlingen Achalmstraße;Rtg Germanenstr/Bf;3244;0;4;de:08115:3244:0:4;BB;08115024;Holzgerlingen;Holzgerlingen;4;31,51;"Bus;Ruftaxi";31756_,31757_,51046_;756,757,RT46;3;9,009331323;48,64457628;Ja;Ja;250;20;;Ebenerdig;Ja
Tübinger Allee;Sindelfingen Tübinger Allee;Rtg Nordost;3245;0;3;de:08115:3245:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31705_;705;1;9,003473347;48,69856782;Nein;Nein;150;15;;Ebenerdig;Nein
Tübinger Allee;Sindelfingen Tübinger Allee;Rtg Südwest;3245;0;4;de:08115:3245:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31705_;705;1;9,003405428;48,69863077;Nein;Nein;250;;;Stufenhöhe;Nein
Mercedes-Benz P305;Sindelf. Mercedes-Benz P305;Rtg Mercedes Benz P 307;3246;0;3;de:08115:3246:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31707_,31752_;707,752;2;8,978113011;48,69318841;Ja;Ja;250;20;;Ebenerdig;Nein
