Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
5981;Jugendherberge;Murrhardt Jugendherberge;de:08119:5981;8119044;Murrhardt;Murrhardt;WN;73;Bus;374;31374_;1;31;9,588360327;48,98646259
5983;Strümpfelbach;Strümpfelbach;de:08119:5983;8119008;Backnang;Strümpfelbach (Bk.);WN;53,54,63,64;"Ruftaxi;Bus";368A,380,385,390,RT390;31368a,31380_,31385_,31390_,50390_;5;31,5;9,43908873;48,97346906
5984;Harbach;Murrhardt Harbach;de:08119:5984;8119044;Murrhardt;Murrhardt;WN;73;"Bus;Ruftaxi";372,374,390,RT390;31372_,31374_,31390_,50390_;4;31,5;9,552349449;48,98809753
5985;Göckelhof;Kirchenk. Göckelhof;de:08119:5985;8119044;Murrhardt;Kirchenkirnberg;WN;73;"Bus;Ruftaxi";373,RT38;31373_,51038_;2;31,51;9,642603716;48,96430405
5986;Schlossmühle;Kirchenkirnberg Schlossmühle;de:08119:5986;8119044;Murrhardt;Kirchenkirnberg;WN;73;Bus;373;31373_;1;31;9,637473187;48,95287653
5987;Marxenhof;Kirchenkirnberg Marxenhof;de:08119:5987;8119044;Murrhardt;Kirchenkirnberg;WN;73;Bus;373;31373_;1;31;9,642359708;48,960196
5988;Grabenstraße;Plüderhausen Grabenstraße;de:08119:5988;8119055;Plüderhausen;Plüderhausen;WN;62;Bus;243,243A,248;31243_,31243a,31248_;3;31;9,598988102;48,79585294
5989;SOS Kinderdorf;Oberberk. SOS Kinderdorf;de:08119:5989;8119067;Schorndorf;Oberberken;WN;52;"Ruftaxi;Bus";260,RT260;31260_,31260q,50260_;3;31,5;9,555303917;48,7792561
5990;Schurwaldhalle;Oberberken Schurwaldhalle;de:08119:5990;8119067;Schorndorf;Oberberken;WN;52;"Bus;Ruftaxi";260,RT260;31260_,31260q,50260_;3;31,5;9,555011079;48,77491417
5991;Wolfsklingenweg;Winnenden Wolfsklingenweg;de:08119:5991;8119085;Winnenden;Winnenden;WN;43;"Ruftaxi;Bus";331,336,337,340,RT30,RT31;31331_,31336_,31337_,31340_,51030_,51031_;6;31,51;9,407638533;48,87221589
5992;Burkhardshof;Birkmannsw. Burkhardshof;de:08119:5992;8119085;Winnenden;Birkmannsweiler;WN;43;"Bus;Ruftaxi";336,337,340,RT31;31336_,31337_,31340_,51031_;4;31,51;9,421238127;48,86839918
5993;Abzweig Däfern;Lippoldsweiler Abzw. Däfern;de:08119:5993;8119006;Auenwald;Lippoldsweiler;WN;63,73;Bus;381,382;31381_,31382_;2;31;9,530921124;48,9260086
5994;Aichholzhof;Unterw. Aichholzhof;de:08119:5994;8119083;Weissach i. T.;Unterweissach;WN;53,63;"Bus;Ruftaxi";381,382,384,RT381;31381_,31382_,31384_,50381_;4;31,5;9,485181057;48,92344971
5995;Bildungszentrum;Cottenw. Bildungszentrum;de:08119:5995;8119083;Weissach i. T.;Cottenweiler;WN;53,63;Bus;365A,382,384;31365a,31382_,31384_;3;31;9,4881076;48,9213062
5996;Hohnweiler Forststraße;Lippoldsw. Hohnw. Forststr.;de:08119:5996;8119006;Auenwald;Lippoldsweiler;WN;63,73;Bus;366;31366_;1;31;9,525901524;48,9288192
5998;Frauenkreuz;Leonberg Frauenkreuz;de:08115:5998;8115028;Leonberg;Leonberg;BB;36,37,46,47;Bus;631;31631_;1;31;9,036699026;48,75039421
5999;Mauserstraße;Oßweil Mauserstraße;de:08118:5999;8118048;Ludwigsburg;Oßweil;LB;34;Bus;431;31431_;1;31;9,234533542;48,89041347
6000;Ostfriedhof;Oßweil Ostfriedhof;de:08118:6000;8118048;Ludwigsburg;Oßweil;LB;34;Bus;431;31431_;1;31;9,239621948;48,88797509
6001;Rohr;Rohr;de:08111:6001;8111000;Stuttgart;Stuttgart;S;20,38;"Nachtbus;Bus;S-Bahn;R-Bahn";S1,S2,S3,S6,S11,R7,81,N10;10001_,10002_,10003_,10006_,10011_,11007_,30081_,33010_;8;10,11,30,33;9,108429298;48,71775109
6002;Vaihingen;Vaihingen;de:08111:6002;8111000;Stuttgart;Stuttgart;S;20;"Bus;S-Bahn;Stadtbahn;R-Bahn";S1,S2,S3,S6,S11,R7,U1,U3,U8,81,82,84,86;10001_,10002_,10003_,10006_,10011_,11007_,20001_,20003_,20008_,30081_,30082_,30084_,30086_;13;10,11,20,30;9,113913368;48,72698102
6004;Vaihingen Schillerplatz;Vaihingen Schillerplatz;de:08111:6004;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Bus;Nachtbus";U1,81,82,N10;20001_,30081_,30082_,33010_;4;20,30,33;9,112628801;48,72996778
6006;Vaihingen Bf (Ost);Vaihingen Bf (Ost);de:08111:6006;8111000;Stuttgart;Stuttgart;S;20;Bus;80;30080_;1;30;9,113841632;48,72531749
6007;Berghaustraße;Berghaustraße;de:08111:6007;8111000;Stuttgart;Stuttgart;S;20,38;Bus;82,86;30082_,30086_;2;30;9,105351766;48,71478645
6008;Universität;Universität;de:08111:6008;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Bus;S-Bahn";S1,S2,S3,S6,S11,82,84,91,92,746,747,748,N1;10001_,10002_,10003_,10006_,10011_,30082_,30084_,30091_,30092_,31746_,31747_,31748_,33001_;13;10,30,31,33;9,106352149;48,74437966
6009;Kaltental;Kaltental;de:08111:6009;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U1,N10;20001_,33010_;2;20,33;9,1302446;48,7400926
6010;Waldeck;Waldeck;de:08111:6010;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Bus;Stadtbahn";U1,82,N1,N10;20001_,30082_,33001_,33010_;4;20,30,33;9,13462249;48,74516827
6011;Katzenbachstraße;Katzenbachstraße;de:08111:6011;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";81,N1;30081_,33001_;2;30,33;9,100239537;48,73381007
6012;Fanny-Leicht-Straße;Fanny-Leicht-Straße;de:08111:6012;8111000;Stuttgart;Stuttgart;S;20;Bus;81,82;30081_,30082_;2;30;9,116556834;48,72980199
6013;Hegel-Gymnasium;Hegel-Gymnasium;de:08111:6013;8111000;Stuttgart;Stuttgart;S;20;Bus;81,86;30081_,30086_;2;30;9,106184121;48,72282494
6014;Rohr Mitte;Rohr Mitte;de:08111:6014;8111000;Stuttgart;Stuttgart;S;20,38;"Bus;Nachtbus";81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,106337189;48,71809476
6015;Pestalozzi-Schule;Pestalozzi-Schule;de:08111:6015;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";82,N10;30082_,33010_;2;30,33;9,100181395;48,72512342
6016;Albblick;Albblick;de:08111:6016;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Bus";82,N10;30082_,33010_;2;30,33;9,094619745;48,7237523
6017;Erwin-Schoettle-Platz;Erwin-Schoettle-Platz;de:08111:6017;8111000;Stuttgart;Stuttgart;S;10;"Nachtbus;Stadtbahn;Bus";U1,U9,U34,42,N10;20001_,20009_,20034_,30042_,33010_;5;20,30,33;9,15996976;48,76286877
6018;Nobelstraße;Nobelstraße;de:08111:6018;8111000;Stuttgart;Stuttgart;S;20;Bus;82,84,91,92,746,747,748;30082_,30084_,30091_,30092_,31746_,31747_,31748_;7;30,31;9,100225313;48,74029363
