Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
4334;0;4;eRtg Altvaterweg;Kirchheim (T) Spielplatz;de:08116:4334:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,458483359;48,63623383
4335;0;3;eRtg Alle Richtungen;Kirchh.(T) Parkpl. Schlossg.;de:08116:4335:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;Bus;173;173;31173_;1;31;9,467794581;48,64394798
4338;0;3;Rtg Fabrikstraﬂe;Kirchheim (T) Hegelstraﬂe;de:08116:4338:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,433181317;48,65390345
4338;0;4;Rtg Krankenhaus;Kirchheim (T) Hegelstraﬂe;de:08116:4338:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,433872036;48,65372999
4339;0;3;eRtg Haldenstraﬂe;÷tlingen Fabrikstraﬂe;de:08116:4339:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,427929212;48,65556876
4339;0;4;eRtg Hegelstraﬂe;÷tlingen Fabrikstraﬂe;de:08116:4339:0:4;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,427265593;48,65574208
4340;0;3;eRtg Mˆrikeschule;÷tlingen Kirche;de:08116:4340:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,422235724;48,6564351
4341;0;3;eRtg ÷tlingen;÷tlingen Ortsmitte;de:08116:4341:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,422119281;48,65711896
4343;0;3;eRtg Karpatenweg;÷tlingen Halde;de:08116:4343:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";161,163,RT161;161,163,RT161;31161_,31163_,50161_;3;31,5;9,423929439;48,65931549
4344;0;3;eRtg ÷tlingen;÷tlingen Warth;de:08116:4344:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,414794977;48,66108436
4345;1;1;Gleis 1;÷tlingen;de:08116:4345:1:1;8116033;Kirchheim (T);÷tlingen;ES;61;S-Bahn;S1;S1;10001_;1;10;9,416288671;48,65785063
4345;3;3;eRtg Am Wasen;÷tlingen;de:08116:4345:3:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";161,163,165,RT161,RT163;161,163,165,RT161,RT163;31161_,31163_,31165_,50161_,50163_;5;31,5;9,416900141;48,65792935
4346;0;3;Rtg ÷tlingen;÷tlingen Mˆrikeschule;de:08116:4346:0:3;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,417319298;48,65444769
4346;0;4;Rtg Lindorf;÷tlingen Mˆrikeschule;de:08116:4346:0:4;8116033;Kirchheim (T);÷tlingen;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,417319298;48,65444769
4347;0;3;eRtg Kreissparkasse;Lindorf Br¸hl;de:08116:4347:0:3;8116033;Kirchheim (T);Lindorf;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,414873579;48,64752325
4347;0;4;eRtg Mˆrikeschule;Lindorf Br¸hl;de:08116:4347:0:4;8116033;Kirchheim (T);Lindorf;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,414873579;48,64752325
4349;1;3;eRtg Z‰hringer Straﬂe;Lindorf Kreissparkasse;de:08116:4349:1:3;8116033;Kirchheim (T);Lindorf;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,414271897;48,64531324
4349;1;4;eRtg Br¸hl;Lindorf Kreissparkasse;de:08116:4349:1:4;8116033;Kirchheim (T);Lindorf;ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,414271897;48,64531324
4350;0;3;eRtg Habichtweg;Kirchheim (T) Schlossgymnasium;de:08116:4350:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,467504289;48,64483943
4350;0;4;eRtg Freibad/K.-W.-Halle;Kirchheim (T) Schlossgymnasium;de:08116:4350:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,467504289;48,64483943
4351;0;3;eRtg Milanweg;Kirchheim (T) Habichtweg;de:08116:4351:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";152,163,165,RT163;152,163,165,RT163;31152_,31163_,31165_,50163_;4;31,5;9,468147514;48,64835292
4352;0;3;eRtg Benzenhofweg;Kirchheim (T) Milanweg;de:08116:4352:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,472463342;48,64837125
4353;0;3;eRtg Am Wiesenrain;Kirchheim (T) Benzenhofweg;de:08116:4353:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,472494073;48,65020561
4354;0;4;eRtg Schlossgymnasium/Jesingen;Kirchheim (T) Schafhof;de:08116:4354:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";163,RT163;163,RT163;31163_,50163_;2;31,5;9,468994867;48,65045374
4355;0;3;eRtg Wellinger Straﬂe;Kirchheim (T) Waldfriedhof;de:08116:4355:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;Bus;168;168;31168_;1;31;9,459002267;48,66049381
4356;0;3;eRtg Kirchheim (T);Kirchheim (T) Uhlandgymnasium;de:08116:4356:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;Ruftaxi;RT16;RT16;51016_;1;51;9,44673731;48,64127095
4357;0;3;eRtg Rembrandtweg;Kirchheim (T) Holbeinweg;de:08116:4357:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;Ruftaxi;RT16;RT16;51016_;1;51;9,443717452;48,64196608
